,4. close
2017-02-02,128.53
2017-02-03,129.08
2017-02-06,130.29
2017-02-07,131.53
2017-02-08,132.04
2017-02-09,132.42
2017-02-10,132.12
2017-02-13,133.29
2017-02-14,135.02
2017-02-15,135.51
2017-02-16,135.345
2017-02-17,135.72
2017-02-21,136.7
2017-02-22,137.11
2017-02-23,136.53
2017-02-24,136.66
2017-02-27,136.93
2017-02-28,136.99
2017-03-01,139.79
2017-03-02,138.96
2017-03-03,139.78
2017-03-06,139.34
2017-03-07,139.52
2017-03-08,139.0
2017-03-09,138.68
2017-03-10,139.14
2017-03-13,139.2
2017-03-14,138.99
2017-03-15,140.46
2017-03-16,140.69
2017-03-17,139.99
2017-03-20,141.46
2017-03-21,139.84
2017-03-22,141.42
2017-03-23,140.92
2017-03-24,140.64
2017-03-27,140.88
2017-03-28,143.8
2017-03-29,144.12
2017-03-30,143.93
2017-03-31,143.66
2017-04-03,143.7
2017-04-04,144.77
2017-04-05,144.02
2017-04-06,143.66
2017-04-07,143.34
2017-04-10,143.17
2017-04-11,141.63
2017-04-12,141.8
2017-04-13,141.05
2017-04-17,141.83
2017-04-18,141.2
2017-04-19,140.68
2017-04-20,142.44
2017-04-21,142.27
2017-04-24,143.64
2017-04-25,144.53
2017-04-26,143.68
2017-04-27,143.79
2017-04-28,143.65
2017-05-01,146.58
2017-05-02,147.51
2017-05-03,147.06
2017-05-04,146.53
2017-05-05,148.96
2017-05-08,153.01
2017-05-09,153.99
2017-05-10,153.26
2017-05-11,153.95
2017-05-12,156.1
2017-05-15,155.7
2017-05-16,155.47
2017-05-17,150.25
2017-05-18,152.54
2017-05-19,153.06
2017-05-22,153.99
2017-05-23,153.8
2017-05-24,153.34
2017-05-25,153.87
2017-05-26,153.61
2017-05-30,153.67
2017-05-31,152.76
2017-06-01,153.18
2017-06-02,155.45
2017-06-05,153.93
2017-06-06,154.45
2017-06-07,155.37
2017-06-08,154.99
2017-06-09,148.98
2017-06-12,145.42
2017-06-13,146.59
2017-06-14,145.16
2017-06-15,144.29
2017-06-16,142.27
2017-06-19,146.34
2017-06-20,145.01
2017-06-21,145.87
2017-06-22,145.63
2017-06-23,146.28
2017-06-26,145.82
2017-06-27,143.73
2017-06-28,145.83
2017-06-29,143.68
2017-06-30,144.02
2017-07-03,143.5
2017-07-05,144.09
2017-07-06,142.73
2017-07-07,144.18
2017-07-10,145.06
2017-07-11,145.53
2017-07-12,145.74
2017-07-13,147.77
2017-07-14,149.04
2017-07-17,149.56
2017-07-18,150.08
2017-07-19,151.02
2017-07-20,150.34
2017-07-21,150.27
2017-07-24,152.09
2017-07-25,152.74
2017-07-26,153.46
2017-07-27,150.56
2017-07-28,149.5
2017-07-31,148.73
2017-08-01,150.05
2017-08-02,157.14
2017-08-03,155.57
2017-08-04,156.39
2017-08-07,158.81
2017-08-08,160.08
2017-08-09,161.06
2017-08-10,155.32
2017-08-11,157.48
2017-08-14,159.85
2017-08-15,161.6
2017-08-16,160.95
2017-08-17,157.86
2017-08-18,157.5
2017-08-21,157.21
2017-08-22,159.78
2017-08-23,159.98
2017-08-24,159.27
2017-08-25,159.86
2017-08-28,161.47
2017-08-29,162.91
2017-08-30,163.35
2017-08-31,164.0
2017-09-01,164.05
2017-09-05,162.08
2017-09-06,161.91
2017-09-07,161.26
2017-09-08,158.63
2017-09-11,161.5
2017-09-12,160.86
2017-09-13,159.65
2017-09-14,158.28
2017-09-15,159.88
2017-09-18,158.67
2017-09-19,158.73
2017-09-20,156.07
2017-09-21,153.39
2017-09-22,151.89
2017-09-25,150.55
2017-09-26,153.14
2017-09-27,154.23
2017-09-28,153.28
2017-09-29,154.12
2017-10-02,153.81
2017-10-03,154.48
2017-10-04,153.48
2017-10-05,155.39
2017-10-06,155.3
2017-10-09,155.84
2017-10-10,155.9
2017-10-11,156.55
2017-10-12,156.0
2017-10-13,156.99
2017-10-16,159.88
2017-10-17,160.47
2017-10-18,159.76
2017-10-19,155.98
2017-10-20,156.25
2017-10-23,156.17
2017-10-24,157.1
